Template,Degree Type,First,v2,v3,v5,v6,Area of Interest (Pre-select),Select Your Degree (Pre-select),,,
Emphasis,N/A,https://www.uagc.edu/success/emphasis/journalism-mass-communication,,,https://www.uagc.edu/success/emphasis/journalism-mass-communication-v5,,,,https://www.uagc.edu/success/degree/mba,Masters,Program Specific
Emphasis,N/A,https://www.uagc.edu/success/emphasis/political-science-government,,,https://www.uagc.edu/success/emphasis/political-science-government-v5,,,,https://www.uagc.edu/success/degree/ms-criminal-justice,Masters,Program Specific
Emphasis,N/A,https://www.uagc.edu/success/emphasis/public-health,,,https://www.uagc.edu/success/emphasis/public-health-v5,,,,https://www.uagc.edu/success/degree/ms-finance,Masters,Program Specific
Emphasis,N/A,https://www.uagc.edu/success/emphasis/real-estate,,,https://www.uagc.edu/success/emphasis/real-estate-v5,,,,https://www.uagc.edu/success/degree/ms-health-information-analytics,Masters,Program Specific
Emphasis,N/A,https://www.uagc.edu/success/emphasis/sports-recreational-management,,,https://www.uagc.edu/success/emphasis/sports-recreational-management-v5,,,,https://www.uagc.edu/success/degree/ms-instructional-design-technology,Masters,Program Specific
Emphasis,N/A,https://www.uagc.edu/success/emphasis/strategic-communication,,,https://www.uagc.edu/success/emphasis/strategic-communication-v5,,,,https://www.uagc.edu/success/degree/ms-technology-management,Masters,Program Specific
Emphasis,N/A,https://www.uagc.edu/success/emphasis/supply-chain-management,,,https://www.uagc.edu/success/emphasis/supply-chain-management-v5,,,,https://www.uagc.edu/success/emphasis/business-economics,N/A,Emphasis
Campaign,N/A,https://www.uagc.edu/success/flexibility,,,https://www.uagc.edu/success/flexibility-v5,,,,https://www.uagc.edu/success/emphasis/english,N/A,Emphasis
Campaign,N/A,https://www.uagc.edu/success/get-ahead,,,https://www.uagc.edu/success/get-ahead-v5,,,,https://www.uagc.edu/success/emphasis/entrepreneurship,N/A,Emphasis
Generic,N/A,https://www.uagc.edu/success/home,,,https://www.uagc.edu/success/home-v5,,,,https://www.uagc.edu/success/emphasis/financial-planning,N/A,Emphasis
Campaign,N/A,https://www.uagc.edu/success/military,,,https://www.uagc.edu/success/military-v5,,,,https://www.uagc.edu/success/emphasis/health-wellness,N/A,Emphasis
Campaign,N/A,https://www.uagc.edu/success/military-general,,,https://www.uagc.edu/success/military-general-v5,,,,https://www.uagc.edu/success/emphasis/history,N/A,Emphasis
Generic,N/A,https://www.uagc.edu/success/military/active-duty,,,https://www.uagc.edu/success/military/active-duty-v5,,,,https://www.uagc.edu/success/emphasis/journalism-mass-communication,N/A,Emphasis
Generic,N/A,https://www.uagc.edu/success/military/spouse-dependents,,,https://www.uagc.edu/success/military/spouse-dependents-v5,,,,https://www.uagc.edu/success/emphasis/political-science-government,N/A,Emphasis
Generic,N/A,https://www.uagc.edu/success/military/veteran,,,https://www.uagc.edu/success/military/veteran-v5,,,,https://www.uagc.edu/success/emphasis/public-health,N/A,Emphasis
Campaign,N/A,https://www.uagc.edu/success/military/veteran-grant,,,https://www.uagc.edu/success/military/veteran-grant-v5,,,,https://www.uagc.edu/success/emphasis/real-estate,N/A,Emphasis
,,,,,https://www.uagc.edu/success/military/air-force-v5,,,,https://www.uagc.edu/success/emphasis/sports-recreational-management,N/A,Emphasis
Campaign,N/A,https://www.uagc.edu/success/new-year,,,,,,,https://www.uagc.edu/success/emphasis/strategic-communication,N/A,Emphasis
Generic,N/A,https://www.uagc.edu/success/online-college-classes,https://www.uagc.edu/success/online-college-classes-v2,,https://www.uagc.edu/success/online-college-classes-v5,,,,https://www.uagc.edu/success/emphasis/supply-chain-management,N/A,Emphasis
Generic,N/A,https://www.uagc.edu/success/online-college-courses,https://www.uagc.edu/success/online-college-courses-v2,,https://www.uagc.edu/success/online-college-courses-v5,,,,https://www.uagc.edu/success/flexibility,N/A,Generic
Generic,N/A,https://www.uagc.edu/success/online-college,https://www.uagc.edu/success/online-college-v2,,https://www.uagc.edu/success/online-college-v5,,,,https://www.uagc.edu/success/get-ahead,N/A,Generic
Generic,N/A,https://www.uagc.edu/success/online-degrees,https://www.uagc.edu/success/online-degrees-v2,,https://www.uagc.edu/success/online-degrees-v5,,,,https://www.uagc.edu/success/home,N/A,Generic
Generic,N/A,https://www.uagc.edu/success/online-schools,https://www.uagc.edu/success/online-schools-v2,,https://www.uagc.edu/success/online-schools-v5,,,,https://www.uagc.edu/success/military,N/A,Generic
Generic,N/A,https://www.uagc.edu/success/online-universities,https://www.uagc.edu/success/online-universities-v2,,https://www.uagc.edu/success/online-universities-v5,,,,https://www.uagc.edu/success/military/active-duty,N/A,Generic
Generic,N/A,https://www.uagc.edu/success/online,https://www.uagc.edu/success/online-v2,,https://www.uagc.edu/success/online-v5,,,,https://www.uagc.edu/success/military/spouse-dependents,N/A,Generic
Field of Study,All Degrees,https://www.uagc.edu/success/programs/accounting-finance,https://www.uagc.edu/success/programs/accounting-finance-v2,https://www.uagc.edu/success/programs/accounting-finance-v3,https://www.uagc.edu/success/programs/accounting-finance-v5,https://www.uagc.edu/success/programs/accounting-finance-v6,,,https://www.uagc.edu/success/military/veteran,N/A,Generic
Field of Study,All Degrees,https://www.uagc.edu/success/programs/accounting,https://www.uagc.edu/success/programs/accounting-v2,https://www.uagc.edu/success/programs/accounting-v3,https://www.uagc.edu/success/programs/accounting-v5,https://www.uagc.edu/success/programs/accounting-v6,,,https://www.uagc.edu/success/military/veteran-grant,N/A,Generic
Field of Study,N/A,https://www.uagc.edu/success/programs/administration,,,https://www.uagc.edu/success/programs/administration-v5,,,,https://www.uagc.edu/success/online,N/A,Generic
Field of Study,All Degrees,https://www.uagc.edu/success/programs/business,https://www.uagc.edu/success/programs/business-v2,https://www.uagc.edu/success/programs/business-v3,https://www.uagc.edu/success/programs/business-v5,https://www.uagc.edu/success/programs/business-v6,,,https://www.uagc.edu/success/online-college,N/A,Generic
Field of Study,All Degrees,https://www.uagc.edu/success/programs/criminal-justice,https://www.uagc.edu/success/programs/criminal-justice-v2,https://www.uagc.edu/success/programs/criminal-justice-v3,https://www.uagc.edu/success/programs/criminal-justice-v5,https://www.uagc.edu/success/programs/criminal-justice-v6,,,https://www.uagc.edu/success/online-college-classes,N/A,Generic
Field of Study,All Degrees,https://www.uagc.edu/success/programs/early-childhood-education,https://www.uagc.edu/success/programs/early-childhood-education-v2,https://www.uagc.edu/success/programs/early-childhood-education-v3,https://www.uagc.edu/success/programs/early-childhood-education-v5,https://www.uagc.edu/success/programs/early-childhood-education-v6,,,https://www.uagc.edu/success/online-college-courses,N/A,Generic
Field of Study,All Degrees,https://www.uagc.edu/success/programs/education,https://www.uagc.edu/success/programs/education-v2,https://www.uagc.edu/success/programs/education-v3,https://www.uagc.edu/success/programs/education-v5,https://www.uagc.edu/success/programs/education-v6,,,https://www.uagc.edu/success/online-degrees,N/A,Generic
Field of Study,All Degrees,https://www.uagc.edu/success/programs/finance,https://www.uagc.edu/success/programs/finance-v2,https://www.uagc.edu/success/programs/finance-v3,https://www.uagc.edu/success/programs/finance-v5,https://www.uagc.edu/success/programs/finance-v6,,,https://www.uagc.edu/success/online-schools,N/A,Generic
Field of Study,All Degrees,https://www.uagc.edu/success/programs/health-care-administration,https://www.uagc.edu/success/programs/health-care-administration-v2,https://www.uagc.edu/success/programs/health-care-administration-v3,https://www.uagc.edu/success/programs/health-care-administration-v5,https://www.uagc.edu/success/programs/health-care-administration-v6,,,https://www.uagc.edu/success/online-universities,N/A,Generic
Field of Study,All Degrees,https://www.uagc.edu/success/programs/health-care,https://www.uagc.edu/success/programs/health-care-v2,https://www.uagc.edu/success/programs/health-care-v3,https://www.uagc.edu/success/programs/health-care-v5,https://www.uagc.edu/success/programs/health-care-v6,,,https://www.uagc.edu/success/programs/accounting,All Degrees,Field of Study
Field of Study,All Degrees,https://www.uagc.edu/success/programs/human-resource-management,https://www.uagc.edu/success/programs/human-resource-management-v2,https://www.uagc.edu/success/programs/human-resource-management-v3,https://www.uagc.edu/success/programs/human-resource-management-v5,https://www.uagc.edu/success/programs/human-resource-management-v6,,,https://www.uagc.edu/success/programs/accounting-finance,All Degrees,Field of Study
Field of Study,All Degrees,https://www.uagc.edu/success/programs/human-services,https://www.uagc.edu/success/programs/human-services-v2,https://www.uagc.edu/success/programs/human-services-v3,https://www.uagc.edu/success/programs/human-services-v5,https://www.uagc.edu/success/programs/human-services-v6,,,https://www.uagc.edu/success/programs/administration,N/A,Field of Study
Field of Study,All Degrees,https://www.uagc.edu/success/programs/information-technology,https://www.uagc.edu/success/programs/information-technology-v2,https://www.uagc.edu/success/programs/information-technology-v3,https://www.uagc.edu/success/programs/information-technology-v5,https://www.uagc.edu/success/programs/information-technology-v6,,,https://www.uagc.edu/success/programs/business,All Degrees,Field of Study
Field of Study,N/A,https://www.uagc.edu/success/programs/leadership,,,https://www.uagc.edu/success/programs/leadership-v5,,,,https://www.uagc.edu/success/programs/child-development,All Degrees,Field of Study
Field of Study,Bachelor,https://www.uagc.edu/success/programs/liberal-arts,https://www.uagc.edu/success/programs/liberal-arts-v2,https://www.uagc.edu/success/programs/liberal-arts-v3,https://www.uagc.edu/success/programs/liberal-arts-v5,https://www.uagc.edu/success/programs/liberal-arts-v6,,,https://www.uagc.edu/success/programs/communications,Bachelor,Field of Study
Field of Study,N/A,https://www.uagc.edu/success/programs/management,,,https://www.uagc.edu/success/programs/management-v5,,,,https://www.uagc.edu/success/programs/criminal-justice,All Degrees,Field of Study
Field of Study,All Degrees,https://www.uagc.edu/success/programs/organizational-management,https://www.uagc.edu/success/programs/organizational-management-v2,https://www.uagc.edu/success/programs/organizational-management-v3,https://www.uagc.edu/success/programs/organizational-management-v5,https://www.uagc.edu/success/programs/organizational-management-v6,,,https://www.uagc.edu/success/programs/early-childhood-education,All Degrees,Field of Study
Field of Study,All Degrees,https://www.uagc.edu/success/programs/psychology,https://www.uagc.edu/success/programs/psychology-v2,https://www.uagc.edu/success/programs/psychology-v3,https://www.uagc.edu/success/programs/psychology-v5,https://www.uagc.edu/success/programs/psychology-v6,,,https://www.uagc.edu/success/programs/education,All Degrees,Field of Study
Field of Study,All Degrees,https://www.uagc.edu/success/programs/social-behavioral-science,https://www.uagc.edu/success/programs/social-behavioral-science-v2,https://www.uagc.edu/success/programs/social-behavioral-science-v3,https://www.uagc.edu/success/programs/social-behavioral-science-v5,https://www.uagc.edu/success/programs/social-behavioral-science-v6,,,https://www.uagc.edu/success/programs/finance,All Degrees,Field of Study
Field of Study,N/A,https://www.uagc.edu/success/programs/technology,,,https://www.uagc.edu/success/programs/technology-v5,,,,https://www.uagc.edu/success/programs/health-care,All Degrees,Field of Study
Campaign,N/A,https://www.uagc.edu/success/quality,,,https://www.uagc.edu/success/quality-v5,,,,https://www.uagc.edu/success/programs/health-care-administration,All Degrees,Field of Study
Generic,N/A,https://www.uagc.edu/success/request-info,https://www.uagc.edu/success/request-info-v2,,,,,,https://www.uagc.edu/success/programs/human-resource-management,All Degrees,Field of Study
Campaign,N/A,https://www.uagc.edu/success/support,,,https://www.uagc.edu/success/support-v5,,,,https://www.uagc.edu/success/programs/human-services,All Degrees,Field of Study
Campaign,N/A,https://www.uagc.edu/success/top-programs,,,,,,,https://www.uagc.edu/success/programs/information-technology,All Degrees,Field of Study
Campaign,N/A,https://www.uagc.edu/success/top-programs-lead,,,,,,,https://www.uagc.edu/success/programs/law-enforcement,All Degrees,Field of Study
Campaign,N/A,https://www.uagc.edu/success/top-programs-reapply,,,,,,,https://www.uagc.edu/success/programs/leadership,N/A,Field of Study
Generic,N/A,https://www.uagc.edu/success/transfer,https://www.uagc.edu/success/transfer-v2,,https://www.uagc.edu/success/transfer-v5,,,,https://www.uagc.edu/success/programs/liberal-arts,Bachelor,Field of Study
Campaign,N/A,https://www.uagc.edu/success/value,,,https://www.uagc.edu/success/value-v5,,,,https://www.uagc.edu/success/programs/management,N/A,Field of Study
Generic,N/A,https://www.uagc.edu/success/why-uagc,,,,,,,https://www.uagc.edu/success/programs/organizational-management,All Degrees,Field of Study
,,,,,,,,,https://www.uagc.edu/success/programs/psychology,All Degrees,Field of Study
,,,,,,,,,https://www.uagc.edu/success/programs/social-behavioral-science,All Degrees,Field of Study
,,,,,,,,,https://www.uagc.edu/success/programs/technology,N/A,Field of Study
,,,,,,,,,https://www.uagc.edu/success/quality,N/A,Generic
,,,,,,,,,https://www.uagc.edu/success/request-info,N/A,Generic
,,,,,,,,,https://www.uagc.edu/success/support,N/A,Generic
,,,,,,,,,https://www.uagc.edu/success/top-programs,N/A,Generic
,,,,,,,,,https://www.uagc.edu/success/top-programs-lead,N/A,Generic
,,,,,,,,,https://www.uagc.edu/success/top-programs-reapply,N/A,Generic
,,,,,,,,,https://www.uagc.edu/success/transfer,N/A,Generic
,,,,,,,,,https://www.uagc.edu/success/value,N/A,Generic
,,,,,,,,,https://www.uagc.edu/success/why-uagc,N/A,Generic
